timestep,episode,alpha,beta,gamma,delta,reward,coverage,distance,redundancy,assigned_drones,no_centroid_path,no_frontier_path,delta_coverage,delta_distance,delta_redundancy,coverage_reward,distance_penalty,redundancy_penalty
13,0,0.9946787357330322,0.0,0.0,0.9048969745635986,0.13239899277687073,1.15,65,92.45406824146981,,0,0,0.05999999999999983,5,0.21760100500257806,0.5999999999999983,0.25,0.21760100500257806
14,0,0.7440953850746155,0.0,0.8687410354614258,1.0,0.9683018326759338,1.26,70,92.33576642335767,,0,0,0.1100000000000001,5,-0.11830181811214402,1.100000000000001,0.25,-0.11830181811214402
15,0,1.0,1.0,0.0,1.0,1.0867840051651,1.38,75,92.19898247597513,,0,0,0.11999999999999988,5,-0.13678394738253985,1.1999999999999988,0.25,-0.13678394738253985
16,0,0.0,0.0,0.7344101667404175,0.6530290246009827,1.6756315231323242,1.54,80,91.87335092348286,,0,0,0.16000000000000014,5,-0.3256315524922684,1.6000000000000014,0.25,-0.3256315524922684
17,0,0.3313036262989044,0.0,0.0,0.4134477376937866,1.6142690181732178,1.7000000000000002,85,91.609081934847,,0,0,0.16000000000000014,5,-0.26426898863586246,1.6000000000000014,0.25,-0.26426898863586246
18,0,0.15297941863536835,0.2189365029335022,0.0,0.0,1.891083836555481,1.8800000000000001,90,91.26799814212725,,0,0,0.17999999999999994,5,-0.34108379271974343,1.7999999999999994,0.25,-0.34108379271974343
19,0,0.0,0.6583354473114014,0.0,0.0,1.258260726928711,2.02,95,91.1597374179431,,0,0,0.1399999999999999,5,-0.10826072418414867,1.399999999999999,0.25,-0.10826072418414867
20,0,0.0,1.0,0.0,0.0,1.666809320449829,2.19,100,90.94292803970222,,0,0,0.16999999999999993,5,-0.21680937824088176,1.6999999999999993,0.25,-0.21680937824088176
21,0,1.0,0.4056866765022278,1.0,0.1526656150817871,1.6442019939422607,2.36,105,90.74872598980792,,0,0,0.16999999999999993,5,-0.1942020498943009,1.6999999999999993,0.25,-0.1942020498943009
22,0,0.21465179324150085,0.7273753881454468,0.0,0.0,0.8014085292816162,2.4699999999999998,110,90.7973174366617,,0,0,0.10999999999999988,5,0.04859144685377714,1.0999999999999988,0.25,0.04859144685377714
23,0,0.902206540107727,0.0,0.0,0.0,0.9252054691314697,2.59,115,90.82211197732106,,0,0,0.1200000000000001,5,0.024794540659357267,1.200000000000001,0.25,0.024794540659357267
24,0,0.5558174252510071,0.0,0.0,0.0,0.9120782613754272,2.71,120,90.86003372681282,,0,0,0.1200000000000001,5,0.037921749491758305,1.200000000000001,0.25,0.037921749491758305
25,0,0.2160412073135376,0.0,0.45580020546913147,0.21967539191246033,-0.4090077579021454,2.73,125,91.2190414924413,,0,0,0.020000000000000018,5,0.35900776562849046,0.20000000000000018,0.25,0.35900776562849046
26,0,0.0,0.0,0.09039363265037537,0.0,-0.37722349166870117,2.75,130,91.54626498616662,,0,0,0.020000000000000018,5,0.3272234937253131,0.20000000000000018,0.25,0.3272234937253131
27,0,0.0,0.2240876853466034,0.7642452120780945,0.29286542534828186,-0.3494812548160553,2.77,135,91.84574624668825,,0,0,0.020000000000000018,5,0.29948126052163104,0.20000000000000018,0.25,0.29948126052163104
28,0,0.0,0.0,0.10038944333791733,0.0,-0.45336416363716125,2.78,140,92.14911042078509,,0,0,0.009999999999999787,5,0.303364174096842,0.09999999999999787,0.25,0.303364174096842
29,0,1.0,0.4552856981754303,0.3724129796028137,0.78128981590271,-0.04824371635913849,2.82,145,92.34735413839891,,0,0,0.040000000000000036,5,0.19824371761382054,0.40000000000000036,0.25,0.19824371761382054
30,0,0.0,0.0,0.0,0.8120577335357666,-0.28556567430496216,2.8400000000000003,150,92.58291982240794,,0,0,0.020000000000000462,5,0.23556568400903188,0.20000000000000462,0.25,0.23556568400903188
31,0,0.0,1.0,0.0,0.0,-0.01814989745616913,2.88,155,92.75106972061414,,0,0,0.03999999999999959,5,0.1681498982061953,0.3999999999999959,0.25,0.1681498982061953
