seed,steps,reached_90,final_coverage,total_distance,final_redundancy,mean_redundancy,total_reward,mean_reward,mean_alpha,mean_beta,mean_gamma,mean_delta,checkpoint
106,589,True,90.02,2945.0,89.2010556621881,89.37062121786259,663.7489443378117,1.126908224682193,0.8173193475184093,0.9933283998929786,0.1870658539096447,0.0,ppo_a_100k
107,538,True,90.05,2690.0,88.23444869801534,87.66019257281776,677.765551301985,1.259787270078039,0.834568220194166,0.9884644959772829,0.16692962368680198,0.0,ppo_a_100k
108,636,True,90.0,3180.0,90.05140109434589,87.9287602305493,650.9485989056534,1.0235040863296436,0.8393762928884734,0.9934858880093638,0.18283405860757115,0.0,ppo_a_100k
109,583,True,90.0,2915.0,88.9739663093415,88.15644102181699,665.276033690659,1.1411252721966707,0.8325040295438947,0.9924287405472063,0.16785426272996293,0.0,ppo_a_100k
110,741,True,90.10000000000001,3705.0,91.4363380602973,90.01507528659597,624.3136619397025,0.8425285586230803,0.7894216608381787,0.9935230060748244,0.2402378324565054,0.0,ppo_a_100k
111,637,True,90.03,3185.0,90.04929484062072,89.20630360345345,651.0007051593798,1.0219791289786182,0.8187174312594921,0.9915789439221566,0.20718702680929862,0.0,ppo_a_100k
112,613,True,90.01,3065.0,89.64271330763476,87.98053475182013,657.2072866923654,1.0721162915046745,0.8303231850546006,0.9918031861692619,0.18025938267736022,0.0,ppo_a_100k
113,576,True,90.10000000000001,2880.0,88.936232916242,89.24684399597481,668.0637670837577,1.1598329289648572,0.8314024083536222,0.9915208827911152,0.17617554923183182,0.0,ppo_a_100k
114,615,True,90.02,3075.0,89.68831258090012,88.1640537764138,656.7616874190993,1.0679051827952835,0.8216064419445953,0.9899061643738087,0.16738340815271788,0.0,ppo_a_100k
105,561,True,90.05,2805.0,88.60804331600187,86.49747937112987,671.6419566839987,1.1972227391871635,0.20871017573305045,0.6647040990186247,0.0,0.0,ppo_b_25k
106,475,True,90.07,2375.0,86.50232279334632,86.05705274744679,695.4476772066541,1.4641003730666402,0.20048660932010726,0.6556780858730015,0.0,0.0,ppo_b_25k
107,616,True,90.0,3080.0,89.68304006419442,87.36274168526354,656.3169599358054,1.0654496102853983,0.19531942131723484,0.6615921970118176,0.0,0.0,ppo_b_25k
108,598,True,90.06,2990.0,89.30518115640847,87.58318511576671,661.7948188435913,1.1066802990695508,0.20414211304412913,0.6661430796651936,0.0,0.0,ppo_b_25k
109,525,True,90.10000000000001,2625.0,87.76280762753301,87.11027811007011,681.9871923724673,1.2990232235666044,0.2022933174314953,0.6644802093789691,0.0,0.0,ppo_b_25k
110,562,True,90.03,2810.0,88.6960888944692,88.59407744511961,671.1039111055305,1.1941350731415135,0.19738391068104483,0.6623936545541278,0.0,0.0,ppo_b_25k
