strategy,run_id,map_seed,timestep,coverage,total_distance,overlap_percentage
random,5,5,274,3.45,1370,98.99536996592994
random,5,5,275,3.45,1375,98.99939093361176
random,5,5,276,3.45,1380,99.00335105153685
random,5,5,277,3.45,1385,99.00727994705493
random,5,5,278,3.45,1390,99.01089449541286
random,5,5,279,3.45,1395,99.01448281772217
random,5,5,280,3.45,1400,99.01807314643519
random,5,5,281,3.45,1405,99.02174837666941
random,5,5,282,3.45,1410,99.02525851839295
random,5,5,283,3.45,1415,99.02874356014752
random,5,5,284,3.45,1420,99.0322037701975
random,5,5,285,3.46,1425,99.03270897400056
random,5,5,286,3.46,1430,99.03613115302115
random,5,5,287,3.46,1435,99.03939587439963
random,5,5,288,3.46,1440,99.04266504343977
random,5,5,289,3.46,1445,99.04591203639873
random,5,5,290,3.46,1450,99.04924159155858
random,5,5,291,3.46,1455,99.0525479887182
random,5,5,292,3.47,1460,99.0529734450479
random,5,5,293,3.47,1465,99.05603917301414
random,5,5,294,3.47,1470,99.05908511619079
random,5,5,295,3.47,1475,99.06218750844572
random,5,5,296,3.47,1480,99.0653953889248
random,5,5,297,3.47,1485,99.06870638754697
random,5,5,298,3.47,1490,99.07186990130259
random,5,5,299,3.47,1495,99.07515991471215
random,5,5,300,3.47,1500,99.07830429239269
random,5,5,301,3.4799999999999995,1505,99.07875579086698
random,5,5,302,3.4799999999999995,1510,99.08186687069626
random,5,5,303,3.49,1515,99.08230344464896
random,5,5,304,3.49,1520,99.0853578635637
random,5,5,305,3.49,1525,99.08827294338933
random,5,5,306,3.49,1530,99.09109849471326
random,5,5,307,3.5000000000000004,1535,99.09131033050342
random,5,5,308,3.5000000000000004,1540,99.09417945599006
random,5,5,309,3.5000000000000004,1545,99.0970305203684
random,5,5,310,3.5000000000000004,1550,99.0998868429174
random,5,5,311,3.5000000000000004,1555,99.10272515189581
random,5,5,312,3.5000000000000004,1560,99.10552275805668
random,5,5,313,3.51,1565,99.10568691398288
random,5,5,314,3.51,1570,99.10848086154785
random,5,5,315,3.51,1575,99.11116738414788
