timestep,alpha,beta,gamma,delta
195,-0.3416491746902466,0.5141196250915527,0.7360416650772095,0.8821319341659546
196,-1.3313453197479248,0.2300661951303482,0.1914931833744049,0.3093007206916809
197,-0.3723544776439667,0.18622669577598572,0.9362688660621643,-0.78108811378479
198,-0.3944500684738159,2.302624225616455,0.3236430585384369,1.0528171062469482
199,-2.1685791015625,0.24143747985363007,-0.1305212378501892,-0.2745494842529297
200,0.6302242279052734,-0.29780516028404236,-1.6493583917617798,-0.9175975918769836
201,-0.05755852907896042,-1.9668095111846924,-0.8909665942192078,0.6553248167037964
202,-0.8899751901626587,-1.1000401973724365,-0.9336060881614685,0.6051690578460693
203,1.0203168392181396,-0.6247374415397644,1.0217533111572266,-0.5976322889328003
204,0.7527544498443604,-0.08132325857877731,-0.791567325592041,-0.18122830986976624
205,-1.4471396207809448,-0.011514449492096901,-2.1139166355133057,1.1391816139221191
206,-0.551043689250946,-0.3962082266807556,-2.9687681198120117,1.221735954284668
207,-0.35096707940101624,-1.7375829219818115,-1.0290299654006958,-0.5357493758201599
208,-0.4254786968231201,-0.10778860747814178,-0.19716806709766388,0.5037776231765747
209,-0.21827611327171326,-1.667458176612854,-0.4635109603404999,-0.21093252301216125
210,-0.23868119716644287,2.1273131370544434,-0.28734469413757324,2.495703935623169
211,0.6791600584983826,-0.33912792801856995,0.2601830065250397,-0.3526392877101898
212,-0.40307191014289856,0.023534126579761505,-1.439044713973999,-0.39890938997268677
213,0.2774107754230499,1.5700150728225708,0.9775135517120361,0.9717575311660767
214,0.1786297857761383,-1.2995696067810059,-1.7371858358383179,-1.011979341506958
215,-2.545213460922241,1.0034291744232178,-1.6159281730651855,1.2312381267547607
216,-0.763099730014801,0.9624322056770325,-0.28101080656051636,1.0692120790481567
217,-0.9932527542114258,0.29635921120643616,0.0646962970495224,0.6053492426872253
218,-0.2989575266838074,0.16099554300308228,0.4841306209564209,1.057922124862671
219,-0.42260685563087463,-1.6088260412216187,0.02418859302997589,0.019276462495326996
220,-0.49867117404937744,-0.848486602306366,-0.29266661405563354,0.5353514552116394
221,0.4215737581253052,-1.289090871810913,-1.0742851495742798,-0.8433496356010437
222,-1.4041906595230103,-0.5760590434074402,0.15095652639865875,0.6943531036376953
223,-0.4103512465953827,1.663346529006958,1.0316990613937378,0.034586191177368164
224,-1.1109012365341187,1.000184178352356,1.1322684288024902,0.8744434118270874
225,1.3232378959655762,-1.4021577835083008,-1.163582444190979,2.2920234203338623
226,1.771180510520935,-0.005021358374506235,-0.23767811059951782,0.6308260560035706
227,1.0286715030670166,2.2248241901397705,-0.1468944102525711,-1.5024569034576416
228,1.0838309526443481,-1.1133536100387573,-0.6106260418891907,-0.9979882836341858
229,0.8593727350234985,0.8115079998970032,-1.5784088373184204,1.295050024986267
230,0.9301084280014038,-0.5572149157524109,0.8156754970550537,1.3041695356369019
231,0.11075026541948318,-1.2426096200942993,-1.1912322044372559,-1.0998684167861938
232,-1.7223995923995972,-0.764948844909668,-0.31008732318878174,0.9175024032592773
233,-1.807719111442566,2.0876903533935547,-2.177229881286621,0.23402082920074463
234,0.8368532061576843,1.3558430671691895,-1.9243848323822021,-1.618422508239746
235,0.7800077795982361,0.24545347690582275,0.46872639656066895,-0.4629932940006256
236,-0.7040000557899475,-1.7197623252868652,0.9812514781951904,-0.4350738823413849
237,0.8891364336013794,-0.5557450652122498,0.20575830340385437,1.3103445768356323
238,-0.2838691771030426,0.12102362513542175,-1.1761035919189453,0.1161346510052681
239,-0.40476787090301514,-0.780142068862915,-1.7221062183380127,0.26672011613845825
240,0.6660109758377075,0.5959277153015137,0.08339906483888626,0.8856517672538757
241,1.1584171056747437,-1.5414806604385376,-0.37067070603370667,0.2746000289916992
242,1.7800312042236328,-0.8960022330284119,0.6393207907676697,0.9920299649238586
243,0.7361012697219849,2.36417293548584,0.5531510710716248,1.2416692972183228
244,-2.2490034103393555,0.527245283126831,1.5559191703796387,-0.16579101979732513
245,2.717496633529663,-0.869839072227478,-0.05849020555615425,0.8988023400306702
246,-0.40672215819358826,-0.3985791802406311,-0.365220844745636,0.6381754279136658
247,-0.06476721912622452,0.3363196849822998,1.0010260343551636,-0.30989909172058105
248,0.18701204657554626,0.2272442728281021,0.06060944125056267,-0.18655116856098175
249,0.8167725801467896,-0.18318989872932434,0.23312051594257355,0.5489405989646912
250,1.2661302089691162,-0.38903680443763733,0.4414261281490326,0.020890355110168457
251,0.11176129430532455,-0.25325846672058105,0.4030612111091614,-1.5307135581970215
252,0.11259929835796356,-0.301786869764328,0.24327388405799866,-0.015672465786337852
253,1.2534714937210083,-0.41153931617736816,-0.05879243463277817,-1.1724852323532104
254,-0.1970544457435608,-1.2358975410461426,0.045268263667821884,-1.4417349100112915
255,-0.46946844458580017,-0.18093152344226837,0.5262062549591064,0.9785766005516052
256,-0.7239561080932617,0.1371162086725235,-1.0476399660110474,-0.4220006763935089
257,0.682772696018219,0.6711180210113525,0.2895013988018036,0.44840919971466064
258,0.031656380742788315,0.8230376839637756,-0.9507612586021423,1.6788439750671387
259,1.577620506286621,0.8991963267326355,0.927270770072937,-1.8834680318832397
260,-0.5345295667648315,-0.4725474715232849,0.23520661890506744,0.2889377474784851
261,-0.2295108139514923,-1.0213273763656616,0.29115933179855347,-0.7722217440605164
262,1.9623384475708008,0.3803307116031647,-0.045948565006256104,-0.265439510345459
263,1.915022611618042,0.37307971715927124,-0.21183288097381592,0.7581282258033752
264,0.20669931173324585,-0.2237885445356369,-0.04820610210299492,-0.37877750396728516
265,0.08744736015796661,-0.5642610192298889,-1.020860195159912,-0.4287933111190796
266,1.8463079929351807,0.9191372394561768,-0.5639870762825012,0.7595256567001343
